,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,the valley,20,AI,1595897422,78,18.22,-63.06,82.13,13.87
1,vaini,75,TO,1595897462,88,-21.2,-175.2,73.4,14.99
2,ishinomaki,75,JP,1595897462,94,38.42,141.3,69.8,4.7
3,atar,1,MR,1595897463,36,20.52,-13.05,92.57,9.64
4,severo-kurilsk,45,RU,1595897463,82,50.68,156.12,55.27,17.07
5,farafangana,84,MG,1595897463,88,-22.82,47.83,62.76,8.63
6,mar del plata,75,AR,1595897372,86,-38.0,-57.56,41.88,9.17
7,bengkulu,100,ID,1595897464,74,-3.8,102.27,77.27,4.85
8,ayan,100,RU,1595897464,79,56.45,138.17,62.42,9.66
9,hilo,75,US,1595897464,58,19.73,-155.09,78.75,6.93
10,lasa,5,IT,1595897464,100,46.62,10.7,59.0,1.74
11,east london,0,ZA,1595897464,74,-33.02,27.91,55.96,9.28
12,hobart,75,AU,1595897339,93,-42.88,147.33,49.66,5.82
13,plouzane,20,FR,1595897464,100,48.38,-4.62,54.14,4.7
14,moose factory,1,CA,1595897464,78,51.26,-80.61,71.6,2.24
15,saldanha,0,ZA,1595897465,70,-33.01,17.94,46.4,5.82
16,atuona,0,PF,1595897465,69,-9.8,-139.03,79.72,25.37
17,carnarvon,0,AU,1595897465,72,-24.87,113.63,59.0,12.75
18,loyga,4,RU,1595897465,93,61.08,44.61,56.14,2.06
19,qaanaaq,0,GL,1595897465,62,77.48,-69.36,43.77,1.97
20,zhigansk,34,RU,1595897466,69,66.77,123.37,52.16,15.35
21,clyde river,90,CA,1595897466,100,70.47,-68.59,41.0,12.75
22,albany,0,US,1595897298,67,42.6,-73.97,88.21,5.57
23,cayenne,82,GF,1595897466,100,4.93,-52.33,77.0,7.49
24,busselton,93,AU,1595897466,98,-33.65,115.33,50.92,10.07
25,puerto ayora,96,EC,1595897466,85,-0.74,-90.35,68.65,9.08
26,punta arenas,35,CL,1595897212,47,-53.15,-70.92,35.29,14.99
27,tasiilaq,92,GL,1595897467,87,65.61,-37.64,42.8,3.36
28,kaitangata,100,NZ,1595897467,71,-46.28,169.85,46.99,4.0
29,chuy,100,UY,1595897463,73,-33.7,-53.46,48.27,7.11
30,rikitea,77,PF,1595897467,81,-23.12,-134.97,72.09,13.24
31,port alfred,0,ZA,1595897467,74,-33.59,26.89,54.45,8.5
32,chaihe,3,CN,1595897468,58,44.77,129.7,79.05,2.21
33,hermanus,0,ZA,1595897468,79,-34.42,19.23,52.0,5.79
34,champerico,90,GT,1595897468,100,14.3,-91.92,77.0,4.7
35,yellowknife,75,CA,1595897468,93,62.46,-114.35,62.6,11.41
36,nishihara,40,JP,1595897469,83,26.18,127.76,86.0,11.41
37,roald,100,NO,1595897469,82,62.58,6.13,58.73,6.93
38,lorengau,53,PG,1595897469,73,-2.02,147.27,83.1,2.19
39,avarua,3,CK,1595897469,83,-21.21,-159.78,71.6,5.82
40,victoria,94,HK,1595897386,70,22.29,114.16,86.99,8.01
41,norman wells,75,CA,1595897469,52,65.28,-126.83,68.0,11.41
42,narasannapeta,99,IN,1595897470,77,18.42,84.05,83.3,4.18
43,kavaratti,100,IN,1595897470,82,10.57,72.64,81.68,16.08
44,leh,7,IN,1595897470,43,34.17,77.58,59.5,5.99
45,cairns,36,AU,1595897470,53,-16.92,145.77,77.0,8.05
46,butaritari,95,KI,1595897470,78,3.07,172.79,83.12,10.38
47,jamestown,1,US,1595897470,88,42.1,-79.24,74.19,8.05
48,tahoua,100,NE,1595897470,88,14.89,5.27,77.0,6.93
49,lebu,5,CL,1595897471,76,-37.62,-73.65,45.28,13.15
50,pingzhuang,37,CN,1595897471,61,42.04,119.29,76.01,12.24
51,lichinga,11,MZ,1595897471,100,-13.31,35.24,50.83,8.05
52,berlevag,0,NO,1595897471,72,70.86,29.09,59.34,8.23
53,provideniya,90,RU,1595897471,93,64.38,-173.3,51.8,6.71
54,pokhara,72,NP,1595897407,76,28.23,83.98,75.54,1.01
55,souillac,40,MU,1595897472,88,-20.52,57.52,66.2,3.36
56,upernavik,85,GL,1595897472,86,72.79,-56.15,44.4,5.57
57,margate,23,GB,1595897472,87,51.38,1.39,62.26,3.0
58,benevides,0,BR,1595897472,69,-1.36,-48.24,78.8,10.29
59,bluff,100,NZ,1595897472,84,-46.6,168.33,46.0,1.99
60,esperance,47,AU,1595897473,93,-33.87,121.9,53.6,11.41
61,elko,1,US,1595897473,20,41.0,-115.5,80.06,19.46
62,bambous virieux,40,MU,1595897473,88,-20.34,57.76,66.58,3.36
63,saint helens,75,GB,1595897473,82,53.45,-2.73,56.39,14.99
64,road town,0,VG,1595897473,96,18.42,-64.62,81.34,11.01
65,kamina,0,CD,1595897474,48,-8.74,24.99,57.79,2.62
66,nanakuli,40,US,1595897474,49,21.39,-158.15,86.63,12.75
67,mataura,100,NZ,1595897474,84,-46.19,168.86,46.0,1.99
68,flin flon,43,CA,1595897474,47,54.77,-101.86,73.74,6.13
69,muros,17,ES,1595897474,85,42.78,-9.06,70.0,3.51
70,huarmey,87,PE,1595897474,86,-10.07,-78.15,60.04,7.83
71,ponta do sol,20,PT,1595897475,64,32.67,-17.1,68.38,16.11
72,ushuaia,40,AR,1595897465,80,-54.8,-68.3,33.8,26.4
73,dunedin,100,NZ,1595897475,55,-45.87,170.5,51.15,1.45
74,vostok,5,RU,1595897475,61,46.49,135.88,77.14,4.16
75,broome,1,US,1595897476,88,42.25,-75.83,75.04,3.36
76,alwar,76,IN,1595897476,57,27.57,76.6,89.11,9.6
77,kolpny,0,RU,1595897476,77,52.23,37.04,60.12,5.59
78,la ronge,5,CA,1595897476,36,55.1,-105.28,78.8,9.17
79,yarega,65,RU,1595897476,68,63.44,53.58,57.94,3.49
80,port lincoln,80,AU,1595897476,66,-34.73,135.87,53.2,9.95
81,bonthe,80,SL,1595897477,82,7.53,-12.51,75.6,8.16
82,tuktoyaktuk,75,CA,1595897477,68,69.45,-133.04,64.4,17.22
83,coquimbo,0,CL,1595897477,87,-29.95,-71.34,53.6,2.24
84,viedma,61,AR,1595897409,70,-40.81,-63.0,40.46,7.61
85,itarema,0,BR,1595897477,79,-2.92,-39.92,77.45,13.29
86,althofen,0,AT,1595897477,88,46.88,14.47,62.73,3.36
87,jalu,0,LY,1595897478,50,29.03,21.55,76.93,10.74
88,cape town,0,ZA,1595897459,93,-33.93,18.42,53.8,3.36
89,lompoc,0,US,1595897363,68,34.64,-120.46,65.84,16.11
90,airai,100,TL,1595897478,59,-8.93,125.41,65.23,4.12
91,castro,100,BR,1595897478,75,-24.79,-50.01,58.86,2.95
92,barrow,90,US,1595897227,80,71.29,-156.79,39.2,26.4
93,piterka,48,RU,1595897478,64,50.68,47.45,62.33,5.03
94,hithadhoo,100,MV,1595897479,79,-0.6,73.08,81.91,10.87
95,coihaique,20,CL,1595897479,74,-45.58,-72.07,37.4,3.36
96,nouakchott,100,MR,1595897479,83,18.09,-15.98,80.6,10.29
97,halifax,99,CA,1595897401,93,44.65,-63.57,64.99,4.0
98,leningradskiy,21,RU,1595897479,76,69.38,178.42,38.21,10.4
99,half moon bay,90,US,1595897469,87,37.46,-122.43,68.56,5.82
100,alexandria,40,EG,1595897479,78,31.22,29.96,78.8,8.05
101,cherskiy,52,RU,1595897480,49,68.75,161.3,49.06,9.98
102,sibolga,100,ID,1595897480,85,1.74,98.78,76.3,0.98
103,nantucket,1,US,1595897480,88,41.28,-70.1,73.67,10.29
104,kapaa,20,US,1595897477,70,22.08,-159.32,82.36,23.04
105,faya,40,SA,1595897480,93,18.39,42.45,63.5,4.7
106,kraljevo,0,RS,1595897481,100,43.73,20.69,60.8,2.55
107,saint-philippe,79,RE,1595897481,88,-21.36,55.77,63.39,3.36
108,new norfolk,79,AU,1595897481,92,-42.78,147.06,46.74,2.84
109,ribeira grande,6,PT,1595897481,89,38.52,-28.7,73.51,4.36
110,sirsilla,98,IN,1595897481,85,18.38,78.83,78.04,5.48
111,celestun,100,MX,1595897482,59,20.87,-90.4,89.04,13.94
112,luang prabang,100,LA,1595897482,88,19.89,102.13,77.41,0.29
113,saskylakh,43,RU,1595897482,63,71.92,114.08,52.77,12.03
114,san juan,6,AR,1595897482,49,-31.54,-68.54,48.83,8.1
115,cidreira,85,BR,1595897482,97,-30.18,-50.21,60.67,2.15
116,sept-iles,75,CA,1595897482,100,50.2,-66.38,62.82,6.15
117,takanabe,40,JP,1595897483,88,32.13,131.5,82.4,3.36
118,tura,100,IN,1595897483,96,25.52,90.22,74.79,3.78
119,plaster rock,20,CA,1595897483,65,46.91,-67.39,76.19,3.36
120,ambon,75,ID,1595897483,83,-3.7,128.18,80.6,4.7
121,zanjan,0,IR,1595897483,32,36.67,48.48,73.13,4.94
122,grand gaube,67,MU,1595897483,81,-20.01,57.66,66.99,5.01
123,iberia,100,US,1595897484,83,29.95,-91.75,80.02,8.05
124,pangnirtung,100,CA,1595897484,48,66.15,-65.71,59.4,8.23
125,georgetown,20,MY,1595897333,94,5.41,100.34,79.36,3.36
126,faanui,100,PF,1595897484,79,-16.48,-151.75,79.14,14.54
127,bredasdorp,0,ZA,1595897484,93,-34.53,20.04,37.4,1.41
128,hualmay,67,PE,1595897484,84,-11.1,-77.61,59.81,9.04
129,viransehir,30,TR,1595897484,19,37.24,39.76,89.6,11.18
130,ancud,50,CL,1595897485,100,-41.87,-73.82,39.58,1.12
131,codrington,1,AU,1595897485,75,-38.27,141.97,54.19,4.79
132,ndago,0,TZ,1595897485,74,-4.6,34.35,58.21,8.43
133,tambura,100,SS,1595897485,97,5.6,27.47,67.37,3.76
134,paracuru,0,BR,1595897485,74,-3.41,-39.03,80.01,18.01
135,oberasbach,0,DE,1595897485,68,49.42,10.96,70.18,8.05
136,hervey bay,0,AU,1595897486,36,-25.3,152.85,64.4,10.29
137,san quintin,0,MX,1595897486,75,30.48,-115.95,70.25,15.52
138,marsh harbour,43,BS,1595897486,75,26.54,-77.06,82.63,8.93
139,thompson,75,CA,1595897412,77,55.74,-97.86,60.8,9.17
140,kapit,100,MY,1595897486,91,2.02,112.93,77.81,0.92
141,batagay,100,RU,1595897486,70,67.63,134.63,53.08,5.91
142,kaa-khem,100,RU,1595897487,56,51.68,94.73,63.88,3.09
143,srednekolymsk,95,RU,1595897487,55,67.45,153.68,57.58,14.88
144,adrar,4,MR,1595897487,35,20.5,-10.07,92.48,21.45
145,lagoa,0,PT,1595897487,89,39.05,-27.98,73.13,5.53
146,shingu,75,JP,1595897487,94,33.73,135.98,78.8,5.82
147,sao filipe,100,CV,1595897488,78,14.9,-24.5,75.99,8.72
148,dingle,100,PH,1595897488,82,11.0,122.67,81.72,4.25
149,san jose,1,US,1595897318,41,37.34,-121.89,79.45,13.87
150,bethel,1,US,1595897488,62,41.37,-73.41,81.41,3.36
151,mayo,1,US,1595897489,52,38.89,-76.51,85.44,4.7
152,boa vista,67,BR,1595897489,74,2.82,-60.67,82.4,2.24
153,sisimiut,100,GL,1595897489,94,66.94,-53.67,44.56,10.4
154,husavik,90,IS,1595897490,66,66.04,-17.34,48.2,6.93
155,ostrovnoy,20,RU,1595897490,86,68.05,39.51,55.71,1.16
156,narsaq,75,GL,1595897490,81,60.92,-46.05,50.0,4.7
157,soyo,34,AO,1595897490,87,-6.13,12.37,71.44,5.77
158,nikolskoye,19,RU,1595897490,82,59.7,30.79,57.74,2.24
159,arraial do cabo,0,BR,1595897490,80,-22.97,-42.03,71.46,23.94
160,serik,0,TR,1595897491,83,36.92,31.1,77.0,4.7
161,lata,100,PT,1595897491,87,40.16,-8.33,67.05,1.99
162,acapulco,90,MX,1595897402,94,16.86,-99.89,77.0,20.8
163,ahipara,91,NZ,1595897491,65,-35.17,173.17,59.94,11.01
164,allahganj,88,IN,1595897491,60,27.55,79.68,89.76,3.02
165,batemans bay,100,AU,1595897491,96,-35.72,150.18,53.69,3.0
166,asau,0,RO,1595897491,91,46.43,26.4,57.99,4.43
167,dikson,100,RU,1595897492,81,73.51,80.55,40.6,13.47
168,pevek,0,RU,1595897492,83,69.7,170.31,36.3,10.56
169,tezu,100,IN,1595897492,86,27.92,96.17,76.96,1.14
170,meulaboh,100,ID,1595897492,97,4.14,96.13,73.99,3.18
171,port elizabeth,0,ZA,1595897477,87,-33.92,25.57,48.2,2.24
172,coahuayana,40,MX,1595897492,74,18.73,-103.68,80.6,17.22
173,floro,100,NO,1595897492,87,61.6,5.03,57.2,4.7
174,santa isabel do rio negro,89,BR,1595897492,92,-0.41,-65.02,74.73,1.25
175,guerrero negro,0,MX,1595897493,75,27.98,-114.06,71.22,22.15
176,carcassonne,45,FR,1595897493,88,43.25,2.17,72.19,2.24
177,podgorica,0,ME,1595897427,42,42.44,19.26,80.6,9.17
178,port blair,100,IN,1595897493,78,11.67,92.75,82.87,10.65
179,pisco,20,PE,1595897493,82,-13.7,-76.22,60.89,12.75
180,khatanga,0,RU,1595897493,57,71.97,102.5,52.45,5.99
181,jining,2,CN,1595897493,75,35.41,116.58,78.55,4.5
182,katsuura,75,JP,1595897494,88,35.13,140.3,81.1,27.51
183,opuwo,0,NA,1595897494,40,-18.06,13.84,55.51,6.87
184,shirgaon,78,IN,1595897494,82,19.7,72.7,82.06,4.21
185,nome,90,US,1595897238,87,64.5,-165.41,51.01,17.22
186,sandnessjoen,75,NO,1595897494,82,66.02,12.63,54.23,10.29
187,seymchan,0,RU,1595897494,29,62.88,152.43,81.59,11.74
188,meadow lake,40,US,1595897495,39,34.8,-106.54,78.49,7.52
189,hay river,75,CA,1595897495,77,60.82,-115.8,66.2,5.82
190,sitka,75,US,1595897495,72,57.05,-135.33,60.8,5.82
191,pocone,69,BR,1595897495,34,-16.26,-56.62,74.75,3.27
192,saryg-sep,100,RU,1595897495,62,51.5,95.6,61.41,1.95
193,kavieng,36,PG,1595897496,73,-2.57,150.8,84.0,10.18
194,geraldton,90,AU,1595897496,93,-28.77,114.6,60.8,10.29
195,corinto,0,GR,1595897496,46,37.94,22.96,75.99,2.8
196,tumpat,20,MY,1595897496,83,6.2,102.17,78.39,4.7
197,nichinan,40,JP,1595897496,88,31.6,131.37,82.4,3.36
198,deputatskiy,99,RU,1595897496,69,69.3,139.9,46.56,5.37
199,middleton,93,GB,1595897351,87,53.55,-2.2,53.1,8.01
200,grants,1,US,1595897497,56,35.15,-107.85,73.4,8.05
201,nhulunbuy,100,AU,1595897497,51,-12.23,136.77,80.6,18.34
202,bukachacha,100,RU,1595897497,67,52.98,116.92,73.89,8.12
203,mount gambier,100,AU,1595897497,93,-37.83,140.77,48.2,1.12
204,porto novo,20,BJ,1595897497,94,6.5,2.6,75.2,11.41
205,camp verde,46,US,1595897498,27,34.56,-111.85,97.02,1.99
206,chokurdakh,100,RU,1595897498,58,70.63,147.92,47.95,2.98
207,kruisfontein,0,ZA,1595897498,60,-34.0,24.73,49.41,6.42
208,mirnyy,100,RU,1595897498,62,62.54,113.96,53.6,17.9
209,beeville,1,US,1595897498,84,28.4,-97.75,85.66,9.17
210,yangambi,100,CD,1595897498,95,0.81,24.43,70.52,1.34
211,bontang,21,ID,1595897498,85,0.13,117.5,80.08,5.39
212,vila franca do campo,20,PT,1595897499,94,37.72,-25.43,69.8,2.24
213,xinyu,62,CN,1595897499,80,27.8,114.93,84.72,0.81
214,college,90,US,1595897499,82,64.86,-147.8,56.5,6.93
215,beringovskiy,0,RU,1595897499,61,63.05,179.32,66.09,9.17
216,sanming,100,CN,1595897499,60,26.25,117.62,89.8,0.4
217,seydi,0,TM,1595897499,22,39.48,62.91,79.23,10.11
218,stephenville,40,US,1595897499,41,32.22,-98.2,91.56,12.75
219,sudova vyshnya,0,UA,1595897500,93,49.79,23.37,59.0,3.13
220,luderitz,0,NA,1595897500,87,-26.65,15.16,55.4,1.12
221,amapa,0,BR,1595897500,84,1.0,-52.0,73.17,2.15
222,amalapuram,56,IN,1595897500,82,16.58,82.02,82.27,2.19
223,denpasar,75,ID,1595897500,100,-8.65,115.22,78.8,16.11
224,manzanillo,58,CU,1595897500,78,20.34,-77.12,81.16,9.6
225,debre tabor,100,ET,1595897500,100,11.85,38.02,50.09,2.19
226,russell,1,US,1595897500,74,32.35,-85.2,85.14,2.86
227,svetlaya,94,RU,1595897501,83,46.54,138.33,67.15,5.97
228,marzuq,100,YE,1595897501,74,14.4,46.47,72.23,3.53
229,sotouboua,90,TG,1595897501,89,8.57,0.98,70.14,3.98
230,kudat,20,MY,1595897501,94,6.88,116.85,78.4,3.36
231,hayden,1,US,1595897501,20,47.77,-116.79,92.53,5.5
232,komsomolskiy,43,UZ,1595897502,56,40.43,71.72,73.4,6.93
233,namibe,0,AO,1595897502,71,-15.2,12.15,65.32,3.67
234,pacific grove,1,US,1595897502,68,36.62,-121.92,64.29,12.75
235,vestmannaeyjar,0,IS,1595897502,72,63.44,-20.27,51.44,19.1
236,boyolangu,74,ID,1595897502,75,-8.12,111.89,76.33,9.19
237,lazaro cardenas,100,MX,1595897502,73,17.96,-102.2,82.83,2.24
238,waingapu,48,ID,1595897502,59,-9.66,120.26,78.33,13.78
239,juneau,90,US,1595897502,77,58.3,-134.42,59.0,5.82
240,hamilton,40,US,1595897372,83,39.18,-84.53,72.25,5.82
241,salinas,1,US,1595897223,60,36.68,-121.66,67.35,16.11
242,auki,38,SB,1595897503,69,-8.77,160.7,85.39,1.66
243,edd,100,ER,1595897503,80,13.93,41.69,82.24,14.16
244,cabo san lucas,75,MX,1595897414,52,22.89,-109.91,89.28,13.87
245,boysun,0,UZ,1595897504,30,38.21,67.2,70.88,2.68
246,alyangula,0,AU,1595897504,44,-13.85,136.42,75.2,12.75
247,torbay,90,CA,1595897504,100,47.67,-52.73,57.54,6.93
248,cockburn town,2,TC,1595897504,76,21.46,-71.14,82.51,18.61
249,namatanai,8,PG,1595897504,66,-3.67,152.43,85.42,6.44
250,suileng,0,CN,1595897504,63,47.25,127.08,80.13,8.12
251,sapele,100,NG,1595897505,93,5.89,5.68,74.08,4.05
252,broken hill,0,AU,1595897505,70,-31.95,141.43,46.4,16.11
253,tuatapere,100,NZ,1595897404,84,-46.13,167.68,46.0,1.99
254,lima,90,PE,1595897292,87,-12.04,-77.03,59.0,9.17
255,phetchaburi,100,TH,1595897506,79,12.97,99.58,80.13,2.62
256,vytegra,55,RU,1595897506,91,61.01,36.45,58.01,4.03
257,tocopilla,6,CL,1595897506,59,-22.09,-70.2,58.3,2.71
258,mecca,52,SA,1595897506,64,21.43,39.83,84.4,13.22
259,bichena,78,ET,1595897506,97,10.45,38.2,51.4,4.32
260,vila velha,0,BR,1595897506,88,-20.33,-40.29,68.0,3.36
261,eugene,4,US,1595897477,30,44.05,-123.09,94.37,1.99
262,nokaneng,0,BW,1595897507,51,-19.67,22.27,49.48,9.4
263,kanadey,0,RU,1595897507,89,53.17,47.53,56.79,2.46
264,bhanpuri,100,IN,1595897507,75,21.1,80.92,81.1,7.16
265,iqaluit,75,CA,1595897507,76,63.75,-68.51,57.09,2.86
266,saint simons,1,US,1595897330,78,31.14,-81.39,79.18,5.82
267,narrabri,90,AU,1595897507,71,-30.32,149.78,55.24,9.17
268,mahebourg,40,MU,1595897507,88,-20.41,57.7,66.2,3.36
269,kalispell,1,US,1595897508,18,48.2,-114.31,88.47,5.82
270,boueni,90,YT,1595897508,88,-12.9,45.08,69.8,19.46
271,touros,20,BR,1595897508,94,-5.2,-35.46,71.6,3.36
272,roebourne,43,AU,1595897509,26,-20.78,117.13,69.76,15.68
273,floresti,56,MD,1595897509,85,47.89,28.3,66.83,3.58
274,puri,75,IN,1595897509,94,19.8,85.85,78.8,10.85
275,hasaki,75,JP,1595897509,79,35.73,140.83,84.07,12.75
276,chumikan,99,RU,1595897509,62,54.72,135.31,73.45,11.01
277,doha,17,QA,1595897396,75,25.29,51.53,93.45,12.75
278,trinidad,0,BO,1595897509,66,-14.83,-64.9,73.15,2.28
279,zhangye,0,CN,1595897510,22,38.93,100.45,81.27,8.5
280,dauphin,40,CA,1595897425,39,51.15,-100.05,78.8,11.41
281,garden city,90,US,1595897510,69,42.33,-83.33,81.9,10.29
282,tevriz,22,RU,1595897510,86,57.51,72.4,51.15,6.4
283,parfenyevo,0,RU,1595897510,94,58.48,43.41,55.36,3.04
284,mago,100,RU,1595897511,52,53.25,140.18,76.78,3.4
